TimeStamp;Tout;SolGlob;WindSpd;WindDir
2021-01-01 00:00:00+01:00;-6.1035156022626325e-06;2.1995923601044373e-14;0.9605703;28.494482040405277
2021-01-01 01:00:00+01:00;0.1000000000000227;2.207487279390661e-14;1.0545101;36.508975982666016
2021-01-01 02:00:00+01:00;-6.1035156022626325e-06;2.2066970164738268e-14;1.1565965;26.954973220825195
2021-01-01 03:00:00+01:00;-0.1999877929687272;2.2252508477846633e-14;1.6548483;21.4943904876709
2021-01-01 04:00:00+01:00;-0.1999877929687272;2.2264350856775967e-14;1.6576895;36.19092559814453
2021-01-01 05:00:00+01:00;-0.1999877929687272;2.228802790475252e-14;1.5462164;28.104751586914062
2021-01-01 06:00:00+01:00;-0.1000122070312272;-4.4540544092481264e-14;2.2365904;26.457002639770508
2021-01-01 07:00:00+01:00;-0.3999999999999772;0.0;2.094297;25.404539108276367
2021-01-01 08:00:00+01:00;-0.6000122070312273;0.0;2.071272;28.877592086791992
2021-01-01 09:00:00+01:00;-0.2999938964843522;0.8977777777777778;2.147713;28.753454208374023
2021-01-01 10:00:00+01:00;-0.6000122070312273;5.644444444444445;2.1723757;35.38162612915039
2021-01-01 11:00:00+01:00;-0.3999999999999772;6.648888888888889;2.1443863;38.81598663330078
2021-01-01 12:00:00+01:00;-6.1035156022626325e-06;6.728888888888889;2.3466876;41.62787628173828
2021-01-01 13:00:00+01:00;0.3000122070312727;5.44;2.3923588;41.61447143554688
2021-01-01 14:00:00+01:00;0.4999938964843977;3.875555555555556;2.2225544;46.71921157836914
2021-01-01 15:00:00+01:00;0.7000061035156477;0.3111111111111111;2.1145914;44.5792350769043
2021-01-01 16:00:00+01:00;0.8000122070312727;0.0;2.19124;40.11959457397461
2021-01-01 17:00:00+01:00;0.8999877929687727;0.0;2.6640222;40.19206619262695
2021-01-01 18:00:00+01:00;0.8000122070312727;0.0;2.6965694;37.48101043701172
2021-01-01 19:00:00+01:00;0.8999877929687727;0.0;2.6782937;30.72542762756348
2021-01-01 20:00:00+01:00;0.8999877929687727;0.0;2.5363119;27.86292839050293
2021-01-01 21:00:00+01:00;1.1000000000000227;2.2805152827882265e-14;2.3709035;27.14607810974121
2021-01-01 22:00:00+01:00;0.8999877929687727;2.2809100287525377e-14;1.9967877;34.178409576416016
2021-01-01 23:00:00+01:00;0.8999877929687727;2.2848567174074374e-14;2.0789692;26.48093032836914
2021-01-02 00:00:00+01:00;0.8999877929687727;2.286831218217205e-14;1.9505366;31.441490173339844
2021-01-02 01:00:00+01:00;0.8000122070312727;2.287225964181516e-14;1.8544837;25.50776481628418
2021-01-02 02:00:00+01:00;0.8999877929687727;2.289593668979172e-14;2.1306293;30.21312522888184
2021-01-02 03:00:00+01:00;0.8999877929687727;2.2888049480387613e-14;2.278186;36.04294204711914
2021-01-02 04:00:00+01:00;0.9999938964843976;2.2880154561101382e-14;2.1827924;26.451181411743164
2021-01-02 05:00:00+01:00;0.8000122070312727;2.2872251931933048e-14;2.3721538;25.940723419189453
2021-01-02 06:00:00+01:00;0.6000000000000227;-4.5756361662559665e-14;2.2433338;24.171918869018555
2021-01-02 07:00:00+01:00;0.6000000000000227;0.0;1.8727463;12.243671417236328
2021-01-02 08:00:00+01:00;0.6000000000000227;0.0;1.9130601;17.80702018737793
2021-01-02 09:00:00+01:00;0.7000061035156477;3.6266666666666665;1.9466969;19.295204162597656
2021-01-02 10:00:00+01:00;0.6000000000000227;12.48;1.7100755;19.9451904296875
2021-01-02 11:00:00+01:00;0.8000122070312727;46.50666666666667;2.0215476;24.7551326751709
2021-01-02 12:00:00+01:00;0.8999877929687727;42.64;2.8249235;25.551626205444336
2021-01-02 13:00:00+01:00;1.2000061035156475;50.91555555555556;2.5115278;39.2383918762207
2021-01-02 14:00:00+01:00;1.1000000000000227;22.364444444444445;2.4026287;40.00960159301758
2021-01-02 15:00:00+01:00;0.8999877929687727;0.7111111111111111;2.5790775;37.81705093383789
2021-01-02 16:00:00+01:00;0.8000122070312727;0.0088888888888888;2.6366494;36.28606796264648
2021-01-02 17:00:00+01:00;0.7000061035156477;0.0;2.6587842;30.76490592956543
2021-01-02 18:00:00+01:00;0.8000122070312727;0.0;2.1961877;15.96273422241211
2021-01-02 19:00:00+01:00;0.9999938964843976;0.0;2.4923623;20.589012145996094
2021-01-02 20:00:00+01:00;1.1000000000000227;0.0;2.619833;26.24107551574707
2021-01-02 21:00:00+01:00;1.1000000000000227;2.2422249242500436e-14;2.8881924;31.783527374267575
2021-01-02 22:00:00+01:00;1.3000122070312727;2.2422249242500436e-14;2.4519868;36.38920211791992
2021-01-02 23:00:00+01:00;1.1000000000000227;2.2438031371190763e-14;2.6705263;39.05486297607422
2021-01-03 00:00:00+01:00;0.9999938964843976;2.243014416178665e-14;2.1828265;40.83211135864258
2021-01-03 01:00:00+01:00;0.9999938964843976;2.2422249242500436e-14;2.4852033;36.02263641357422
2021-01-03 02:00:00+01:00;1.1000000000000227;2.242224153261832e-14;2.5153134;34.28419876098633
2021-01-03 03:00:00+01:00;0.8999877929687727;2.2426196702143542e-14;2.6602843;34.7196159362793
2021-01-03 04:00:00+01:00;0.4999938964843977;2.2414354323214212e-14;2.8465252;28.840227127075195
2021-01-03 05:00:00+01:00;-6.1035156022626325e-06;2.242224153261832e-14;2.5535738;25.10772132873535
2021-01-03 06:00:00+01:00;-0.1999877929687272;-4.4832656106071536e-14;2.3241477;20.138351440429688
2021-01-03 07:00:00+01:00;-1.5000061035156025;0.0;2.4523597;11.79212760925293
